id,reportyear,reportname,tablenum,tablename,Season,"Fishing Days","Numbers Landed Chinook Adults","Numbers Landed Coho","Numbers Landed Steelhead","Numbers Landed White Sturgeon"
2008,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",29,"Fall mainstem Columbia River treaty fishery landings, 1980-2023.","Aug 19-Oct 23",37,106625,21625,26339,94
2009,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",29,"Fall mainstem Columbia River treaty fishery landings, 1980-2023.","Aug 24-Oct 1",23,98622,15675,36755,34
2010,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",29,"Fall mainstem Columbia River treaty fishery landings, 1980-2023.","Aug 24-Oct 22",25.5,132642,11485,26733,150
2011,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",29,"Fall mainstem Columbia River treaty fishery landings, 1980-2023.","Aug 22-Oct 6",28.5,114247,22941,15034,853
2012,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",29,"Fall mainstem Columbia River treaty fishery landings, 1980-2023.","Aug 21-Oct 4",22.5,82879,7070,15211,109
2013,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",29,"Fall mainstem Columbia River treaty fishery landings, 1980-2023.","Aug 19-Oct 3",27.5,227568,8850,17156,77
2014,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",29,"Fall mainstem Columbia River treaty fishery landings, 1980-2023.","Aug 18-Oct 16",41.5,264458,40480,25551,76
2015,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",29,"Fall mainstem Columbia River treaty fishery landings, 1980-2023.","Aug 17-Oct 2",33.5,258957,2956,16571,13
2016,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",29,"Fall mainstem Columbia River treaty fishery landings, 1980-2023.","Aug 22-Oct 21",40.5,132167,6114,13555,54
2017,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",29,"Fall mainstem Columbia River treaty fishery landings, 1980-2023.","Aug 21-Oct 5",30.5,117463,8731,8439,71
2018,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",29,"Fall mainstem Columbia River treaty fishery landings, 1980-2023.","Aug 27-Oct 6",22,54653,4526,6208,348
2019,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",29,"Fall mainstem Columbia River treaty fishery landings, 1980-2023.","Aug 26-Oct 5",19,62746,3180,2880,38
2020,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",29,"Fall mainstem Columbia River treaty fishery landings, 1980-2023.","Aug 24-Oct 7",26.5,101076,15015,9411,88
2021,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",29,"Fall mainstem Columbia River treaty fishery landings, 1980-2023.","Aug 23-Oct 14",32,64353,23226,3249,88
2022,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",29,"Fall mainstem Columbia River treaty fishery landings, 1980-2023.","Aug 22-Oct 6",30.5,175898,11165,9492,92
2023,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",29,"Fall mainstem Columbia River treaty fishery landings, 1980-2023.","Aug 21-Oct 6",30.5,151516,17778,8311,105
